Date,Time,Max
02/17/2023,11:00:00,59
02/18/2023,01:00:00,58
02/18/2023,03:00:00,58
02/18/2023,05:00:00,58
02/18/2023,07:00:00,59
02/18/2023,09:00:00,59
02/18/2023,11:00:00,59
02/18/2023,01:00:00,59
02/18/2023,03:00:00,60
02/18/2023,05:00:00,59
02/18/2023,07:00:00,59
02/18/2023,09:00:00,60
02/18/2023,11:00:00,59
02/19/2023,01:00:00,59
02/19/2023,03:00:00,57
02/19/2023,05:00:00,57
02/19/2023,07:00:00,58
02/19/2023,09:00:00,59
02/19/2023,11:00:00,60
02/19/2023,01:00:00,60
02/19/2023,03:00:00,59
02/19/2023,05:00:00,59
02/19/2023,07:00:00,59
02/19/2023,09:00:00,59
02/19/2023,11:00:00,59
02/20/2023,01:00:00,58
02/20/2023,03:00:00,58
02/20/2023,05:00:00,58
02/20/2023,07:00:00,61
02/20/2023,09:00:00,60
02/20/2023,11:00:00,67
02/20/2023,01:00:00,67
02/20/2023,03:00:00,66
02/20/2023,05:00:00,61
02/20/2023,07:00:00,60
02/20/2023,09:00:00,61
02/20/2023,11:00:00,61
02/21/2023,01:00:00,60
02/21/2023,03:00:00,58
02/21/2023,05:00:00,59
02/21/2023,07:00:00,61
02/21/2023,09:00:00,63
02/21/2023,11:00:00,62
02/21/2023,01:00:00,62
02/21/2023,03:00:00,62
02/21/2023,05:00:00,61
02/21/2023,07:00:00,61
02/21/2023,09:00:00,62
02/21/2023,11:00:00,61
02/22/2023,01:00:00,62
02/22/2023,03:00:00,62
02/22/2023,05:00:00,62
02/22/2023,07:00:00,62
02/22/2023,09:00:00,64
02/22/2023,11:00:00,64
02/22/2023,01:00:00,64
02/22/2023,03:00:00,63
02/22/2023,05:00:00,65
02/22/2023,07:00:00,64
02/22/2023,09:00:00,62
02/22/2023,11:00:00,63
02/23/2023,01:00:00,63
02/23/2023,03:00:00,63
02/23/2023,05:00:00,63
02/23/2023,07:00:00,64
02/23/2023,09:00:00,65
02/23/2023,11:00:00,70
02/23/2023,01:00:00,70
02/23/2023,03:00:00,65
02/23/2023,05:00:00,64
02/23/2023,07:00:00,65
02/23/2023,09:00:00,65
02/23/2023,11:00:00,64
02/24/2023,01:00:00,65
02/24/2023,03:00:00,74
02/24/2023,05:00:00,65
02/24/2023,07:00:00,66
02/24/2023,09:00:00,66
02/24/2023,11:00:00,66
02/24/2023,01:00:00,67
02/24/2023,03:00:00,67
02/24/2023,05:00:00,66
02/24/2023,07:00:00,66
02/24/2023,09:00:00,67
02/24/2023,11:00:00,66
02/25/2023,01:00:00,67
02/25/2023,03:00:00,66
02/25/2023,05:00:00,65
02/25/2023,07:00:00,67
02/25/2023,09:00:00,67
02/25/2023,11:00:00,68
02/25/2023,01:00:00,67
02/25/2023,03:00:00,68
02/25/2023,05:00:00,68
02/25/2023,07:00:00,67
02/25/2023,09:00:00,67
02/25/2023,11:00:00,68
02/26/2023,01:00:00,68
02/26/2023,03:00:00,67
02/26/2023,05:00:00,67
02/26/2023,07:00:00,67
02/26/2023,09:00:00,68
02/26/2023,11:00:00,69
02/26/2023,01:00:00,69
02/26/2023,03:00:00,69
02/26/2023,05:00:00,69
02/26/2023,07:00:00,69
02/26/2023,09:00:00,69
02/26/2023,11:00:00,69
02/27/2023,01:00:00,69
02/27/2023,03:00:00,69
02/27/2023,05:00:00,69
02/27/2023,07:00:00,70
02/27/2023,09:00:00,72
02/27/2023,11:00:00,73
02/27/2023,01:00:00,71
02/27/2023,03:00:00,71
02/27/2023,05:00:00,71
02/27/2023,07:00:00,71
02/27/2023,09:00:00,71
02/27/2023,11:00:00,71
02/28/2023,01:00:00,71
02/28/2023,03:00:00,70
02/28/2023,05:00:00,70
02/28/2023,07:00:00,72
02/28/2023,09:00:00,73
02/28/2023,11:00:00,80
02/28/2023,01:00:00,74
02/28/2023,03:00:00,82
02/28/2023,05:00:00,79
02/28/2023,07:00:00,78
02/28/2023,09:00:00,79
02/28/2023,11:00:00,81
03/01/2023,01:00:00,78
03/01/2023,03:00:00,78
03/01/2023,05:00:00,79
03/01/2023,07:00:00,81
03/01/2023,09:00:00,82
03/01/2023,11:00:00,83
03/01/2023,01:00:00,86
03/01/2023,03:00:00,82
03/01/2023,05:00:00,82
03/01/2023,07:00:00,82
03/01/2023,09:00:00,82
